user_id,query
user_1,Non-Fiction
user_1,Romance
user_1,Fantasy
user_1,Non-Fiction
user_1,Sci-Fi
user_1,Non-Fiction
user_1,Non-Fiction
user_1,Fantasy
user_1,Sci-Fi
user_1,Sci-Fi
user_2,Mystery
user_2,Fantasy
user_2,Mystery
user_2,Fantasy
user_2,Sci-Fi
user_2,Sci-Fi
user_2,Mystery
user_2,Sci-Fi
user_2,Mystery
user_2,Non-Fiction
user_3,Romance
user_3,Sci-Fi
user_3,Sci-Fi
user_3,Fantasy
user_3,Romance
user_3,Non-Fiction
user_3,Sci-Fi
user_3,Sci-Fi
user_3,Mystery
user_3,Fantasy
user_4,Fantasy
user_4,Non-Fiction
user_4,Fantasy
user_4,Fantasy
user_4,Romance
user_4,Non-Fiction
user_4,Non-Fiction
user_4,Fantasy
user_4,Sci-Fi
user_4,Non-Fiction
user_5,Sci-Fi
user_5,Non-Fiction
user_5,Non-Fiction
user_5,Non-Fiction
user_5,Fantasy
user_5,Romance
user_5,Mystery
user_5,Romance
user_5,Non-Fiction
user_5,Romance
user_6,Sci-Fi
user_6,Non-Fiction
user_6,Mystery
user_6,Mystery
user_6,Sci-Fi
user_6,Mystery
user_6,Mystery
user_6,Mystery
user_6,Sci-Fi
user_6,Romance
user_7,Sci-Fi
user_7,Romance
user_7,Romance
user_7,Mystery
user_7,Non-Fiction
user_7,Mystery
user_7,Mystery
user_7,Romance
user_7,Non-Fiction
user_7,Romance
user_8,Fantasy
user_8,Non-Fiction
user_8,Non-Fiction
user_8,Romance
user_8,Romance
user_8,Romance
user_8,Non-Fiction
user_8,Sci-Fi
user_8,Fantasy
user_8,Non-Fiction
user_9,Romance
user_9,Non-Fiction
user_9,Romance
user_9,Romance
user_9,Fantasy
user_9,Non-Fiction
user_9,Fantasy
user_9,Non-Fiction
user_9,Non-Fiction
user_9,Fantasy
user_10,Sci-Fi
user_10,Sci-Fi
user_10,Romance
user_10,Romance
user_10,Fantasy
user_10,Sci-Fi
user_10,Fantasy
user_10,Romance
user_10,Romance
user_10,Mystery
user_11,Romance
user_11,Non-Fiction
user_11,Non-Fiction
user_11,Fantasy
user_11,Sci-Fi
user_11,Non-Fiction
user_11,Non-Fiction
user_11,Sci-Fi
user_11,Sci-Fi
user_11,Non-Fiction
user_12,Mystery
user_12,Fantasy
user_12,Romance
user_12,Sci-Fi
user_12,Sci-Fi
user_12,Fantasy
user_12,Sci-Fi
user_12,Non-Fiction
user_12,Fantasy
user_12,Sci-Fi
user_13,Mystery
user_13,Fantasy
user_13,Fantasy
user_13,Romance
user_13,Non-Fiction
user_13,Non-Fiction
user_13,Non-Fiction
user_13,Sci-Fi
user_13,Mystery
user_13,Romance
user_14,Fantasy
user_14,Sci-Fi
user_14,Mystery
user_14,Romance
user_14,Mystery
user_14,Fantasy
user_14,Fantasy
user_14,Sci-Fi
user_14,Romance
user_14,Fantasy
user_15,Mystery
user_15,Romance
user_15,Non-Fiction
user_15,Mystery
user_15,Mystery
user_15,Romance
user_15,Fantasy
user_15,Sci-Fi
user_15,Romance
user_15,Sci-Fi
user_16,Mystery
user_16,Mystery
user_16,Fantasy
user_16,Non-Fiction
user_16,Sci-Fi
user_16,Non-Fiction
user_16,Romance
user_16,Romance
user_16,Mystery
user_16,Fantasy
user_17,Non-Fiction
user_17,Romance
user_17,Fantasy
user_17,Mystery
user_17,Non-Fiction
user_17,Romance
user_17,Non-Fiction
user_17,Mystery
user_17,Non-Fiction
user_17,Mystery
user_18,Fantasy
user_18,Fantasy
user_18,Mystery
user_18,Romance
user_18,Sci-Fi
user_18,Non-Fiction
user_18,Fantasy
user_18,Fantasy
user_18,Non-Fiction
user_18,Sci-Fi
user_19,Non-Fiction
user_19,Romance
user_19,Non-Fiction
user_19,Mystery
user_19,Non-Fiction
user_19,Sci-Fi
user_19,Sci-Fi
user_19,Fantasy
user_19,Mystery
user_19,Non-Fiction
user_20,Sci-Fi
user_20,Sci-Fi
user_20,Fantasy
user_20,Fantasy
user_20,Romance
user_20,Fantasy
user_20,Non-Fiction
user_20,Sci-Fi
user_20,Non-Fiction
user_20,Sci-Fi
user_21,Mystery
user_21,Mystery
user_21,Sci-Fi
user_21,Non-Fiction
user_21,Fantasy
user_21,Fantasy
user_21,Sci-Fi
user_21,Sci-Fi
user_21,Romance
user_21,Romance
user_22,Sci-Fi
user_22,Romance
user_22,Mystery
user_22,Sci-Fi
user_22,Mystery
user_22,Mystery
user_22,Romance
user_22,Romance
user_22,Fantasy
user_22,Mystery
user_23,Non-Fiction
user_23,Sci-Fi
user_23,Romance
user_23,Sci-Fi
user_23,Mystery
user_23,Romance
user_23,Mystery
user_23,Non-Fiction
user_23,Fantasy
